country,year,gdp_growth,inflation,current_account_gdp,external_debt_gni,foreign_reserves_months,trade_balance_gdp,unemployment,real_interest_rate,broad_money_growth
Argentina,1990,-2.46721377810472,,3.22031448392387,46.2282372006326,5.69957895846503,5.72821418510863,,,1113.27240588928
Argentina,1991,9.13311056738961,,-0.341028912950146,35.7191930020236,5.09620553340786,1.59703253775518,5.44,,141.337040313408
Argentina,1992,7.93729155643076,,-2.42494134682425,30.556438109999,5.70506107278321,-1.53460564227824,6.36,,62.4862543855056
Argentina,1993,8.20697907221228,,-3.46617829462144,27.6719318453773,6.74386056512173,-2.40444838036731,10.1,,46.4808250080567
Argentina,1994,5.83620070368526,,-4.26485898465452,29.5945044681267,5.59678188654749,-3.0744484151647,11.76,,17.6402701691858
Argentina,1995,-2.84520961057079,,-1.98346027350929,38.9848417579252,5.47248285450445,-0.410602571195211,18.8,,-2.80555086350306
Argentina,1996,5.52668982715234,,-2.4875930110115,41.6825294657416,5.89789511152116,-0.649274893693637,17.11,,18.820560554349
Argentina,1997,8.1110467707457,,-4.14468006629108,44.742849204167,5.47566058156948,-2.21447863989155,14.82,,25.5347378149256
Argentina,1998,3.85017885156228,,-4.84431604541957,48.5365413234134,5.69914835773996,-2.51886405088506,12.65,,10.4880929410016
Argentina,1999,-3.38545704063269,,-4.21229506178183,55.0294127610094,6.80464213303424,-1.72839593260512,14.05,,4.0855896589592
Argentina,2000,-0.78899893905691,,-3.15992237703676,54.2417099417586,6.28322204626374,-0.649694312619028,15.0,,1.53103363312449
Argentina,2001,-4.40883968258557,,-1.40694788500181,58.4932935172091,4.29371406025342,1.30576071351812,17.32,,-19.4362184816831
Argentina,2002,-10.8944848285903,,8.97078467784247,159.890183546743,5.27543170673438,15.0124696397722,19.59,,19.7088538926378
Argentina,2003,8.83704079576924,,6.37990680177011,133.474955613907,5.70013745215415,11.2171378217363,15.36,,29.6348527788152
Argentina,2004,9.02957330068152,,1.95058324319273,114.783966038451,5.77837779911896,7.00259273903135,13.522,,21.4273104900815
Argentina,2005,8.85165992013437,,2.65363142179073,74.2469415660219,7.26029776298213,5.94048249709131,11.506,,21.513918560906
Argentina,2006,8.04715150043027,,2.79449564264943,52.8779757006235,7.02897239370493,5.61990933570791,10.078,,20.2627350951633
Argentina,2007,9.00765087504757,,2.1036160391819,43.1501917496034,8.17153428618646,4.38033000444218,8.47,,24.4656256111237
Argentina,2008,4.05723310346406,,1.49940141614234,36.7967786223547,6.71425831138327,3.71912738621024,7.837,,8.06469999443141
